date,spacecraft,context,kind,center_freq_hz,bandwidth_hz,duration_s,amplitude,distance_au,source
1979-08-13 17:43:08.532000005+00:00,unknown,solar-wind cruise,oscillation,0.0086206896551724,0.0001306165099268,3263.996999979019,1417.0496082233385,,hg-48s.tab
1979-08-13 17:43:08.532000005+00:00,unknown,solar-wind cruise,oscillation,0.0086206896551724,0.0001306165099268,3263.996999979019,1417.0496082233385,,hg-48s2.csv
1979-08-15 13:54:20.396000028+00:00,unknown,solar-wind cruise,oscillation,0.0001306165099268,0.0103187042842215,3023.996999979019,1327.7598692688334,,hg-48s.tab
1979-08-15 13:54:20.396000028+00:00,unknown,solar-wind cruise,oscillation,0.0001306165099268,0.0103187042842215,3023.996999979019,1327.7598692688334,,hg-48s2.csv
1979-08-15 13:54:20.396000028+00:00,unknown,solar-wind cruise,oscillation,0.0001306165099268,0.0103187042842215,3023.996999979019,1327.7598692688334,,HG_48S.TAB
1979-08-15 13:54:20.396000028+00:00,unknown,solar-wind cruise,oscillation,0.0001306165099268,0.0103187042842215,3023.996999979019,1327.7598692688334,,hg-48s.tab
1979-08-16 14:47:08.319000006+00:00,unknown,solar-wind cruise,burst,0.0003255208333333,0.01025390625,48.0,1198.87109,,hg-48s.tab
1979-08-16 14:47:08.319000006+00:00,unknown,solar-wind cruise,burst,0.0003255208333333,0.01025390625,48.0,1198.87109,,hg-48s.tab
1979-08-16 14:47:08.319000006+00:00,unknown,solar-wind cruise,burst,0.0003255208333333,0.01025390625,48.0,1198.87109,,hg-48s2.csv
1979-08-16 14:47:08.319000006+00:00,unknown,solar-wind cruise,burst,0.0003255208333333,0.01025390625,48.0,1198.87109,,HG_48S.TAB
1979-08-16 14:44:44.319000006+00:00,unknown,solar-wind cruise,dc_shift,0.0,0.0,192.0,1196.26662738,,hg-48s2.csv
1979-08-16 14:44:44.319000006+00:00,unknown,solar-wind cruise,dc_shift,0.0,0.0,192.0,1196.26662738,,hg-48s.tab
1979-08-16 14:44:44.319000006+00:00,unknown,solar-wind cruise,dc_shift,0.0,0.0,192.0,1196.26662738,,hg-48s.tab
